,Date,Duration,Distance,id,Game Day,Days Before Match,Days After Match
1168,2019-04-25 00:00:00,35.476001739502,4270.404790629679,41,1,0,0
549,2019-04-28 00:00:00,64.4266700744629,5462.71242906743,41,1,0,0
1559,2019-05-05 00:00:00,33.5573310852051,4268.81098888966,41,1,0,0
1287,2019-05-12 00:00:00,101.55867004394501,10425.8181040663,41,1,0,0
1583,2019-05-18 00:00:00,39.3073310852051,4228.5324872865,41,1,0,0
445,2019-08-07 00:00:00,86.0,8280.67763519287,41,1,0,0
1653,2019-08-18 00:00:00,31.0,5690.08686923981,41,1,0,0
1654,2019-08-18 00:00:00,17.483333587646502,1175.2124724984199,41,1,0,0
818,2019-08-31 00:00:00,34.713333129882805,3694.04027069177,41,1,0,0
721,2019-09-15 00:00:00,34.3026657104492,3692.1859746378996,41,1,0,0
1553,2019-09-19 00:00:00,110.0,11402.771209716799,41,1,0,0
2,2019-09-22 00:00:00,29.0,2813.5761337280296,41,1,0,0
819,2019-09-25 00:00:00,40.556003570556605,4825.68818999291,41,1,0,0
64,2019-09-28 00:00:00,110.0,10747.6879959106,41,1,0,0
751,2019-10-03 00:00:00,99.0,10462.1110229492,41,1,0,0
1206,2019-10-06 00:00:00,30.9326667785645,3672.14433233894,41,1,0,0
271,2019-10-19 00:00:00,64.0,5774.87489318848,41,1,0,0
1449,2019-10-24 00:00:00,110.0,10955.1757659912,41,1,0,0
1450,2019-10-24 00:00:00,33.0166664123535,1526.5791761875198,41,1,0,0
1133,2019-10-27 00:00:00,37.0,4033.71659469604,41,1,0,0
961,2019-10-31 00:00:00,17.1833324432373,1331.07406044006,41,1,0,0
962,2019-10-31 00:00:00,110.0,11027.2647094727,41,1,0,0
1271,2019-11-03 00:00:00,42.0,5020.78063201904,41,1,0,0
1568,2019-11-07 00:00:00,16.0,2862.31422042847,41,1,0,0
246,2019-11-10 00:00:00,110.0,10296.118408203101,41,1,0,0
1291,2019-11-24 00:00:00,77.0,8546.45190429688,41,1,0,0
1524,2019-11-28 00:00:00,34.0,4200.48976898193,41,1,0,0
977,2019-12-01 00:00:00,110.0,5430.844543457029,41,1,0,0
708,2019-12-08 00:00:00,39.0566635131836,4108.4531544825,41,1,0,0
886,2019-12-12 00:00:00,88.0,8420.15751647949,41,1,0,0
446,2019-12-15 00:00:00,22.260667800903303,2743.58563246543,41,1,0,0
783,2019-12-21 00:00:00,64.39666748046879,5236.36230817632,41,1,0,0
1124,2020-01-04 00:00:00,110.0,10539.4747009277,41,1,0,0
808,2020-01-11 00:00:00,37.0,4335.87319946289,41,1,0,0
1147,2020-01-26 00:00:00,21.334665298461896,2337.68124884215,41,1,0,0
933,2020-02-08 00:00:00,16.3966655731201,2007.3543152312,41,1,0,0
356,2020-02-15 00:00:00,42.1040000915527,4887.10539895674,41,1,0,0
1064,2020-02-20 00:00:00,38.0,3386.27869400883,41,1,0,0
105,2020-02-23 00:00:00,64.0380020141602,5023.36768013199,41,1,0,0
1264,2020-03-01 00:00:00,85.0,10353.5451965332,41,1,0,0
88,2020-03-07 00:00:00,24.3666667938232,1258.0318765640302,41,1,0,0
1218,2020-06-12 00:00:00,36.0566635131836,3464.9036630336304,41,1,0,0
1525,2020-06-16 00:00:00,31.476001739502,3203.62860663387,41,1,0,0
126,2020-06-20 00:00:00,77.0,8023.724662780759,41,1,0,0
10,2020-06-23 00:00:00,25.681333541870103,2583.00343096859,41,1,0,0
1083,2020-07-02 00:00:00,17.266666412353498,1310.15613889694,41,1,0,0
1496,2020-07-08 00:00:00,16.4500007629395,1263.4785799980198,41,1,0,0
1148,2020-07-16 00:00:00,17.3166675567627,1209.18886089325,41,1,0,0
948,2020-07-19 00:00:00,110.0,13388.4324645996,41,1,0,0
1684,2020-09-19 00:00:00,62.3666648864746,3338.42244243622,41,1,0,0
135,2020-09-26 00:00:00,61.1833343505859,4817.640029907229,41,1,0,0
366,2020-09-29 00:00:00,109.949996948242,9613.40362548828,41,1,0,0
709,2020-10-03 00:00:00,106.183334350586,9787.623298645021,41,1,0,0
942,2020-10-25 00:00:00,64.3166656494141,4865.40815734863,41,1,0,0
934,2020-11-01 00:00:00,55.733333587646506,4512.48141098022,41,1,0,0
1324,2020-11-08 00:00:00,86.53333282470699,7663.53923034668,41,1,0,0
494,2020-11-22 00:00:00,35.0926666259766,3483.8335227878697,41,1,0,0
794,2020-11-29 00:00:00,113.516670227051,10316.7975769043,41,1,0,0
1367,2020-12-05 00:00:00,95.5999984741211,9775.34799194336,41,1,0,0
758,2020-12-12 00:00:00,12.0859994888306,1503.32736808264,41,1,0,0
1413,2020-12-17 00:00:00,36.0,3173.3594485314097,41,1,0,0
616,2020-12-20 00:00:00,114.366668701172,9053.560287475591,41,1,0,0
357,2020-12-23 00:00:00,36.3326644897461,4363.61469896901,41,1,0,0
1053,2020-12-30 00:00:00,111.933334350586,10413.9165115356,41,1,0,0
1149,2021-01-02 00:00:00,113.733329772949,10616.1405639648,41,1,0,0
